var1,var2,r
MOSTYPE,MOSHOOFD,0.9926718735871268
MHHUUR,MHKOOP,-0.9995539474452626
MZFONDS,MZPART,-0.9992392987669024
PWAPART,AWAPART,0.9813691759338583
PWALAND,AWALAND,0.9875786173283109
PPERSAUT,APERSAUT,0.9161544881588953
PBESAUT,ABESAUT,0.9029955844716637
PMOTSCO,AMOTSCO,0.9048551710056817
PVRAAUT,AVRAAUT,0.9486633329648927
PAANHANG,AAANHANG,0.9660805072786662
PTRACTOR,ATRACTOR,0.929817837170291
PWERKT,AWERKT,0.9096706503355444
PBROM,ABROM,0.9697075839648648
PGEZONG,AGEZONG,0.9799685114482575
PWAOREG,AWAOREG,0.9484298669980387
PPLEZIER,APLEZIER,0.9044364454087517
PFIETS,AFIETS,0.9358542621115552
PBYSTAND,ABYSTAND,0.9662387606028424